params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score
"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.7894736842105263,0.7721518987341772,0.7972972972972973,0.7738095238095238,0.7721518987341772,0.7916666666666666,0.7564102564102564,0.8266666666666667,0.7792207792207793,0.7948717948717948,0.7853720466621865,0.018313951170015403
"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.7926829268292683,0.7613636363636364,0.8157894736842105,0.7582417582417582,0.7926829268292683,0.7619047619047619,0.7471264367816092,0.7948717948717948,0.7875,0.8024691358024691,0.7814632851308777,0.021429684877701263
"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.7625,0.7294117647058823,0.7922077922077922,0.7613636363636364,0.7558139534883721,0.75,0.7435897435897436,0.7926829268292683,0.8076923076923077,0.7922077922077922,0.7687469917084794,0.024459934956683815
"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.7894736842105263,0.7721518987341772,0.7972972972972973,0.7738095238095238,0.7692307692307693,0.7916666666666666,0.7662337662337663,0.8266666666666667,0.7792207792207793,0.7974683544303798,0.7863219406500552,0.017361790067016936
"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.84,0.8,0.8157894736842105,0.7831325301204819,0.8181818181818182,0.775,0.7590361445783133,0.782051282051282,0.8076923076923077,0.7974683544303798,0.7978351910738792,0.022601567000600207
"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.7733333333333333,0.7682926829268293,0.8194444444444444,0.7529411764705882,0.7469879518072289,0.7567567567567568,0.7368421052631579,0.7875,0.8181818181818182,0.8133333333333334,0.7773613602517491,0.02918524551867897
"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.7894736842105263,0.7721518987341772,0.7972972972972973,0.7738095238095238,0.7721518987341772,0.7916666666666666,0.7662337662337663,0.8266666666666667,0.782051282051282,0.8076923076923077,0.7879194992096391,0.017882224793895264
"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.8493150684931506,0.7948717948717948,0.821917808219178,0.7682926829268293,0.8333333333333334,0.7662337662337663,0.7692307692307693,0.7972972972972973,0.8028169014084507,0.821917808219178,0.8025227230233748,0.027520942017815662
"{'SVC__C': 5.0, 'SVC__kernel': 'sigmoid'}",0.782608695652174,0.8,0.8285714285714286,0.7619047619047619,0.7631578947368421,0.7435897435897436,0.7464788732394366,0.8205128205128205,0.821917808219178,0.7972972972972973,0.7866039323723683,0.030146184446557804
