params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score
"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.8157894736842105,0.7777777777777778,0.7848101265822784,0.782051282051282,0.7530864197530864,0.8493150684931506,0.8181818181818182,0.7894736842105263,0.8026315789473685,0.7894736842105263,0.7962590913892025,0.02519533639037979
"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.7816091954022989,0.7764705882352941,0.7857142857142857,0.7738095238095238,0.7590361445783133,0.8214285714285714,0.7804878048780488,0.7469879518072289,0.7682926829268293,0.7875,0.7781336748780394,0.01868246219483563
"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.7875,0.7710843373493976,0.7926829268292683,0.775,0.7261904761904762,0.8076923076923077,0.810126582278481,0.7721518987341772,0.7662337662337663,0.76,0.7768662295307873,0.023333306887835848
"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.8157894736842105,0.7777777777777778,0.7875,0.782051282051282,0.7530864197530864,0.8493150684931506,0.8181818181818182,0.7894736842105263,0.8026315789473685,0.7894736842105263,0.7965280787309748,0.025085791004387008
"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.8125,0.7951807228915663,0.8,0.7764705882352941,0.7631578947368421,0.8354430379746836,0.7894736842105263,0.7654320987654321,0.7948717948717948,0.7866666666666666,0.7919196488352807,0.020502577757352584
"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.7901234567901234,0.7875,0.821917808219178,0.8051948051948052,0.725,0.8082191780821918,0.8,0.8108108108108109,0.7945205479452054,0.7638888888888888,0.7907175495931205,0.026538648849542323
"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.8157894736842105,0.7777777777777778,0.7875,0.782051282051282,0.7530864197530864,0.8493150684931506,0.8181818181818182,0.7894736842105263,0.8026315789473685,0.7866666666666666,0.7962473769765888,0.025178689668568212
"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.7948717948717948,0.8024691358024691,0.8108108108108109,0.7590361445783133,0.7530864197530864,0.8311688311688312,0.8055555555555556,0.7922077922077922,0.7972972972972973,0.8309859154929577,0.797748969753891,0.024511281357394252
"{'SVC__C': 5.0, 'SVC__kernel': 'sigmoid'}",0.8181818181818182,0.7875,0.821917808219178,0.8028169014084507,0.717948717948718,0.7972972972972973,0.7692307692307693,0.7972972972972973,0.7837837837837838,0.7910447761194029,0.7887019169486715,0.02781297595015219
