params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score
"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.7662337662337663,0.8,0.8133333333333334,0.8024691358024691,0.782051282051282,0.7564102564102564,0.8026315789473685,0.8055555555555556,0.7777777777777778,0.8529411764705882,0.7959403862582397,0.02591492864916857
"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.8048780487804879,0.7831325301204819,0.8048780487804879,0.7727272727272727,0.7560975609756098,0.75,0.7674418604651163,0.775,0.7701149425287356,0.8266666666666667,0.7810936931044858,0.02284316939918834
"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.759493670886076,0.7875,0.7848101265822784,0.7926829268292683,0.759493670886076,0.7721518987341772,0.7682926829268293,0.8157894736842105,0.7441860465116279,0.8082191780821918,0.7792619675122735,0.021527465637753897
"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.7662337662337663,0.8,0.8157894736842105,0.8024691358024691,0.782051282051282,0.7564102564102564,0.8026315789473685,0.8055555555555556,0.7777777777777778,0.8529411764705882,0.7961860002933274,0.026089660155048936
"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.8205128205128205,0.7901234567901234,0.8026315789473685,0.7857142857142857,0.7692307692307693,0.7625,0.8148148148148148,0.7866666666666666,0.7857142857142857,0.8142857142857143,0.7932194392676848,0.018514815841218186
"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.7808219178082192,0.8076923076923077,0.8,0.7875,0.7692307692307693,0.75,0.7721518987341772,0.8428571428571429,0.759493670886076,0.8484848484848485,0.7918232555693542,0.03156765618532731
"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.7662337662337663,0.8,0.8133333333333334,0.8024691358024691,0.782051282051282,0.7468354430379747,0.8026315789473685,0.8055555555555556,0.7777777777777778,0.8529411764705882,0.7949829049210114,0.0274869639041321
"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.8157894736842105,0.8142857142857143,0.8082191780821918,0.7777777777777778,0.8289473684210527,0.8082191780821918,0.8271604938271605,0.7702702702702703,0.7974683544303798,0.8405797101449275,0.8088717519005876,0.020994922550911396
"{'SVC__C': 5.0, 'SVC__kernel': 'sigmoid'}",0.7777777777777778,0.7922077922077922,0.8,0.7560975609756098,0.7945205479452054,0.7333333333333333,0.7866666666666666,0.835820895522388,0.7631578947368421,0.7916666666666666,0.7831249135832283,0.0264508085643158
