params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score
"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.7837837837837838,0.7916666666666666,0.8311688311688312,0.7848101265822784,0.7916666666666666,0.7397260273972602,0.7441860465116279,0.8157894736842105,0.7922077922077922,0.8194444444444444,0.7894449859113563,0.028153616468573225
"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.7654320987654321,0.7692307692307693,0.7840909090909091,0.788235294117647,0.7875,0.7439024390243902,0.7415730337078652,0.8170731707317073,0.7411764705882353,0.825,0.7763214185256955,0.028319671852614296
"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.7804878048780488,0.782051282051282,0.8072289156626506,0.7654320987654321,0.782051282051282,0.7341772151898734,0.7441860465116279,0.7848101265822784,0.7948717948717948,0.8051948051948052,0.7780491371759075,0.02277209935016839
"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.7837837837837838,0.7916666666666666,0.8311688311688312,0.7848101265822784,0.7916666666666666,0.7397260273972602,0.7441860465116279,0.8157894736842105,0.7922077922077922,0.8169014084507042,0.7891906823119822,0.027891758864885825
"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.7792207792207793,0.8260869565217391,0.8271604938271605,0.8072289156626506,0.7948717948717948,0.7435897435897436,0.7674418604651163,0.7848101265822784,0.775,0.8421052631578947,0.7947515933899157,0.029195600096635507
"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.7894736842105263,0.7837837837837838,0.8461538461538461,0.7662337662337663,0.7692307692307693,0.726027397260274,0.7738095238095238,0.8026315789473685,0.7848101265822784,0.8309859154929577,0.7873140391705095,0.03215149453880596
"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.7837837837837838,0.7916666666666666,0.8311688311688312,0.7848101265822784,0.7916666666666666,0.7397260273972602,0.7411764705882353,0.8157894736842105,0.7922077922077922,0.8169014084507042,0.7888897247196429,0.028387574139006246
"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.7692307692307693,0.8333333333333334,0.8181818181818182,0.7951807228915663,0.7972972972972973,0.7567567567567568,0.7831325301204819,0.7763157894736842,0.7894736842105263,0.9,0.8018902701496232,0.03899931895005964
"{'SVC__C': 5.0, 'SVC__kernel': 'sigmoid'}",0.7662337662337663,0.7916666666666666,0.8333333333333334,0.7972972972972973,0.7733333333333333,0.7534246575342466,0.7926829268292683,0.7671232876712328,0.7792207792207793,0.8028169014084507,0.7857132949528374,0.021774805737706848
