params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score
"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.8076923076923077,0.8,0.821917808219178,0.7808219178082192,0.775,0.8125,0.8076923076923077,0.7397260273972602,0.7875,0.810126582278481,0.7942976951087753,0.023052915173980643
"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.7674418604651163,0.7558139534883721,0.7926829268292683,0.8205128205128205,0.7804878048780488,0.7790697674418605,0.8024691358024691,0.7380952380952381,0.7555555555555555,0.8125,0.780462906306875,0.02541344021423459
"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.8024691358024691,0.7792207792207793,0.8076923076923077,0.7631578947368421,0.7590361445783133,0.7674418604651163,0.8333333333333334,0.7532467532467533,0.7901234567901234,0.7974683544303798,0.7853190020296418,0.02416209920667156
"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.8076923076923077,0.8,0.8194444444444444,0.7777777777777778,0.775,0.8076923076923077,0.8181818181818182,0.75,0.7875,0.8076923076923077,0.7950980963480963,0.02102610351781222
"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.7738095238095238,0.8,0.8311688311688312,0.8026315789473685,0.7777777777777778,0.8076923076923077,0.7974683544303798,0.7468354430379747,0.7816091954022989,0.8157894736842105,0.7934782485950673,0.02283076247249442
"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.7948717948717948,0.7866666666666666,0.8076923076923077,0.7777777777777778,0.7625,0.7439024390243902,0.8289473684210527,0.7702702702702703,0.7710843373493976,0.7922077922077922,0.7835920754281449,0.02288384255474686
"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.8076923076923077,0.8,0.8194444444444444,0.7777777777777778,0.775,0.8076923076923077,0.8181818181818182,0.75,0.7875,0.8076923076923077,0.7950980963480963,0.02102610351781222
"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.7972972972972973,0.8026315789473685,0.8333333333333334,0.8333333333333334,0.8051948051948052,0.8108108108108109,0.8133333333333334,0.7435897435897436,0.7926829268292683,0.821917808219178,0.8054124970888472,0.024456461516082297
"{'SVC__C': 5.0, 'SVC__kernel': 'sigmoid'}",0.7647058823529411,0.7777777777777778,0.8529411764705882,0.782608695652174,0.7721518987341772,0.7866666666666666,0.8311688311688312,0.7464788732394366,0.7948717948717948,0.7922077922077922,0.7901579389142179,0.02958442905985998
